activity_period,operating_airline,operating_airline_iata,published_airline,published_airline_iata,geo_summary,geo_region,activity_type,cargo_type,cargo_aircraft_type,cargo_weight_lbs,cargo_metric_tons,year,month
200507,ABX Air,GB,ABX Air,GB,Domestic,US,Deplaned,Cargo,Freighter,45423,20.6038728,2005,July
200507,ABX Air,GB,ABX Air,GB,Domestic,US,Enplaned,Cargo,Freighter,106869,48.4757784,2005,July
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Cargo,Passenger,55427,25.1416872,2005,July
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Mail,Passenger,50278,22.8061008,2005,July
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Cargo,Passenger,74183,33.6494088,2005,July
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Mail,Passenger,347558,157.6523088,2005,July
200507,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Cargo,Passenger,47025,21.33054,2005,July
200507,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Express,Passenger,7234,3.2813424,2005,July
200507,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Mail,Passenger,29762,13.5000432,2005,July
200507,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Cargo,Passenger,37291,16.915197600000006,2005,July
200507,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Express,Passenger,6707,3.0422952000000003,2005,July
200507,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Mail,Passenger,67831,30.768141600000003,2005,July
200507,Air China,CA,Air China,CA,International,Asia,Deplaned,Cargo,Passenger,1127590,511.474824,2005,July
200507,Air China,CA,Air China,CA,International,Asia,Enplaned,Cargo,Passenger,353098,160.16525280000005,2005,July
200507,Air France,AF,Air France,AF,International,Europe,Deplaned,Cargo,Passenger,464002,210.4713072,2005,July
200507,Air France,AF,Air France,AF,International,Europe,Deplaned,Mail,Passenger,38810,17.604216,2005,July
200507,Air France,AF,Air France,AF,International,Europe,Enplaned,Cargo,Passenger,423069,191.9040984,2005,July
200507,Air France,AF,Air France,AF,International,Europe,Enplaned,Mail,Passenger,100001,45.3604536,2005,July
200507,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Cargo,Passenger,317156,143.8619616,2005,July
